gpu_name,g3d_mark,tdp,category
GeForce RTX 4090 Laptop GPU,"27,871",150,Mobile
GeForce RTX 4080 Laptop GPU,"25,340",150,Mobile
Radeon RX 7900M,"22,112",NA,Mobile
Radeon 610M Ryzen 9 7845HX,"21,623",NA,Mobile
GeForce RTX 3080 Ti Laptop GPU,"19,875",115,Mobile
GeForce RTX 4070 Laptop GPU,"19,626",115,Mobile
GeForce RTX 3070 Ti Laptop GPU,"18,079",115,Mobile
GeForce RTX 4060 Laptop GPU,"17,697",115,Mobile
Radeon RX 6850M XT,"17,192",NA,Mobile
GeForce RTX 3080 Laptop GPU,"16,471",115,Mobile
RTX A5000 Laptop GPU,"16,041",165,Workstation
GeForce RTX 3070 Laptop GPU,"15,490",115,Mobile
Radeon RX 6800S,"15,446",100,Mobile
RTX A4000 Laptop GPU,"15,440",140,Workstation
GeForce RTX 2080 (Mobile),"15,107",150,Mobile
Radeon RX 6650M,"15,004",NA,Mobile
Radeon RX 6700S,"14,923",80,Mobile
Quadro RTX 5000 (Mobile),"14,832",110,Workstation
GeForce RTX 4050 Laptop GPU,"14,411",115,Mobile
Radeon RX 7600S,"14,172",75,Mobile
RadeonT RX 6850M XT,"13,848",165,Mobile
GeForce RTX 2080 Super with Max-Q Design,"13,802",80,Mobile
GeForce RTX 2070 Super with Max-Q Design,"13,779",80,Mobile
Radeon RX 6600M,"13,690",100,Mobile
Radeon RX 6600S,"13,678",80,Mobile
Quadro RTX 5000 with Max-Q Design,"13,644",80,Workstation
Radeon PRO W6600M,"13,549",NA,Mobile
Radeon RX 6700M,"13,465",135,Mobile
GeForce RTX 3060 Laptop GPU,"13,371",115,Mobile
Radeon RX 6800M,"13,288",145,Mobile
GeForce RTX 2080 with Max-Q Design,"13,139",90,Mobile
Quadro RTX 4000 with Max-Q Design,"12,663",80,Mobile
RTX A3000 Laptop GPU,"12,538",130,Workstation
Quadro RTX 4000 (Mobile),"12,474",110,Mobile
GeForce RTX 2070 (Mobile),"12,354",115,Mobile
Quadro P5200,"12,304",NA,Mobile
Radeon RX 6850M,"12,274",NA,Mobile
GeForce RTX 2070 with Max-Q Design,"11,712",80,Mobile
GeForce GTX 1080 with Max-Q Design,"11,584",110,Mobile
Radeon RX 7600M XT,"11,531",120,Mobile
Intel Arc A770M,"11,513",150,Mobile
GeForce RTX 2060 (Mobile),"11,355",80,Mobile
