CPU Name,Cores,CPU Mark,Thread Mark,"TDP									","Socket										",Category
[Dual CPU] AMD EPYC 9454,48,"134,517","3,030",290,SP5,Laptop
AMD Ryzen 9 7945HX3D,16,"57,796","4,116",55,FL1,Laptop
AMD Ryzen 9 7945HX,16,"54,698","4,050",55,FL1,Laptop
AMD Ryzen 9 7940HX,16,"53,704","3,946",55,AM5 (LGA 1718),"Desktop, Laptop"
Intel Core i9-13980HX,24,"47,274","4,308",55,FCBGA1964,Laptop
Intel Core i9-14900HX,24,"46,612","4,314",55,FCBGA1964,Laptop
AMD Ryzen 9 7845HX,12,"45,723","3,977",55,FL1,Laptop
Intel Core i9-13900HX,24,"44,566","4,145",55,FCBGA1964,Laptop
Intel Core i9-13950HX,24,"43,941","4,034",55,FCBGA1964,Laptop
Apple M3 Max 16 Core,16,"40,752","4,787",78,Unknown,Laptop
Intel Core i7-14650HX,16,"38,148","3,913",157,FCBGA1964,Laptop
Intel Core i7-13850HX,20,"37,992","3,846",55,FCBGA1964,Laptop
Intel Core i7-14700HX,20,"37,297","3,951",55,FCBGA1964,Laptop
Apple M3 Max 14 Core,14,"36,363","4,765",78,Unknown,Laptop
Intel Core i9-12900HX,16,"34,170","3,834",55,FCBGA1964,Laptop
Intel Core i7-13700HX,16,"33,944","3,879",55,FCBGA1964,Laptop
AMD Ryzen 7 7745HX,8,"32,770","3,958",55,AM5 (LGA 1718),Laptop
Intel Core i9-12950HX,16,"32,420","3,827",55,FCBGA1964,Laptop
Intel Core i7-12800HX,16,"32,419","3,751",55,FCBGA1964,Laptop
AMD Ryzen 9 8945H,8,"31,708","3,996",45,FP7 FP7r2 FP8,"Desktop, Laptop"
Intel Core i9-13900HK,14,"31,690","3,990",45,FCBGA1744,Laptop
Intel Core i7-13650HX,14,"31,625","3,829",55,FCBGA1964,Laptop
Intel Core i7-12850HX,16,"30,802","3,711",55,FCBGA1964,Laptop
AMD Ryzen 9 7940HS,8,"30,413","3,902",54,FP7 FP7r2 FP8,Laptop
Intel Core i9-13905H,14,"30,133","3,646",45,FCBGA1792,Laptop
Intel Core i5-13500HX,14,"29,881","3,644",55,FCBGA1964,Laptop
AMD Ryzen 9 8945HS,8,"29,387","3,860",45,FP7 FP7r2 FP8,"Desktop, Laptop"
Intel Core Ultra 9 185H,16,"29,048","3,735",45,FCBGA2049,Laptop
Intel Core i9-13900H,14,"29,004","3,853",45,FCBGA1744,Laptop
AMD Ryzen 7 7840HS,8,"28,943","3,780",54,FP7 FP7r2 FP8,Laptop
AMD Ryzen 7 8845HS,8,"28,899","3,751",45,FP7 FP7r2 FP8,"Desktop, Laptop"
AMD Ryzen 7 8845H,8,"28,774","3,708",45,FP7 FP7r2 FP8,"Desktop, Laptop"
AMD Ryzen 7 PRO 8845HS,8,"28,629","3,879",45,FP7 FP7r2,"Desktop, Laptop, Server"
AMD Ryzen 9 7940H,8,"28,608","3,996",54,FP7 FP7r2 FP8,Laptop
AMD Ryzen 7 7840H,8,"28,504","3,739",54,FP7 FP7r2 FP8,Laptop
AMD Ryzen 7 PRO 8840HS,8,"28,321","3,820",28,FP7 FP7r2 FP8,"Desktop, Laptop"
Intel Core i5-14500HX,14,"28,177","3,519",55,FCBGA1964,Laptop
AMD Ryzen 9 PRO 7940HS,8,"28,170","3,717",45,FP7 FP7r2,Laptop
Intel Core i9-12900H,14,"28,108","3,794",45,FCBGA1744,Laptop
Intel Core i9-12900HK,14,"27,615","3,651",45,FCBGA1744,Laptop
Intel Core i5-13600HX,14,"27,520","3,646",55,FCBGA1964,Laptop
Intel Core i7-13700H,14,"27,386","3,653",45,FCBGA1744,Laptop
Apple M3 Pro 12 Core,12,"27,226","4,693",27,Unknown,Laptop
Intel Core i7-13800H,14,"27,074","3,611",45,FCBGA1744,Laptop
AMD Ryzen 5 7645HX,6,"26,868","3,915",55,AM5 (LGA 1718),Laptop
AMD Ryzen 7 PRO 7840HS,8,"26,560","3,482",54,FP7 FP7r2 FP8,Laptop
Apple M2 Max 12 Core 3680 MHz,12,"26,470","4,145",NA,Unknown,Laptop
Apple M2 Pro 12 Core 3480 MHz,12,"26,399","4,108",NA,Unknown,Laptop
Intel Core Ultra 7 165H,16,"26,343","3,549",28,FCBGA2049,Laptop
Intel Core i7-12700H,14,"26,225","3,589",45,FCBGA1744,Laptop
Intel Core i5-13450HX,10,"25,506","3,576",55,FCBGA1964,Laptop
Intel Core i7-13620H,10,"25,352","3,675",45,FCBGA1744,Laptop
Intel Core Ultra 7 155H,16,"25,065","3,550",28,Unknown,Laptop
